"","player","standing","time","time_ms","advancement","ranked_event","n_advancements"
"175","blakwolf_",5,00:12:04.003,724003,"Suit Up",NA,28
"176","suravil_",6,00:12:04.004,724004,NA,"eliminate",27
"177","bigbigmongey",3,00:12:53.785,773785,"The End?",NA,30
"178","Snakezy",1,00:13:24.767,804767,"Return to Sender",NA,29
"179","bigbigmongey",3,00:13:26.826,806826,"Free the End",NA,31
"180","bigbigmongey",3,00:13:38.068,818068,NA,"dragon_death",31
"181","bigbigmongey",3,00:14:08.380,848380,"Remote Getaway",NA,32
"182","Boosfer",2,00:14:35.076,875076,"Oh Shiny",NA,29
"183","Erikfzf",4,00:14:39.474,879474,"Eye Spy",NA,30
"184","bigbigmongey",3,00:14:52.433,892433,"The City at the End of the Game",NA,33
"185","bigbigmongey",3,00:15:02.734,902734,"Sky's the Limit",NA,34
"186","blakwolf_",5,00:15:07.156,907156,"Return to Sender",NA,29
"187","Snakezy",1,00:15:07.966,907966,"Eye Spy",NA,30
"188","bigbigmongey",3,00:15:09.001,909001,"Cover Me With Diamonds",NA,35
"189","Boosfer",2,00:15:21.238,921238,"Eye Spy",NA,30
"190","blakwolf_",5,00:16:02.883,962883,"Eye Spy",NA,30
"191","Erikfzf",4,00:16:16.029,976029,"The End?",NA,31
"192","Erikfzf",4,00:16:53.178,1013178,"You Need a Mint",NA,32
"193","bigbigmongey",3,00:17:08.840,1028839,"Great View From Up Here",NA,36
"194","Boosfer",2,00:17:25.039,1045039,"The End?",NA,31
"195","Snakezy",1,00:17:36.729,1056729,"Not Quite ""Nine"" Lives",NA,31
"196","Boosfer",2,00:17:45.873,1065873,"You Need a Mint",NA,32
"197","Snakezy",1,00:17:50.722,1070722,"The End?",NA,32
"198","bigbigmongey",3,00:18:06.234,1086234,"The Next Generation",NA,37
"199","Snakezy",1,00:18:28.256,1108256,"Free the End",NA,33
"200","Snakezy",1,00:18:38.216,1118216,NA,"dragon_death",33
"201","blakwolf_",5,00:18:43.421,1123421,"The End?",NA,31
"202","bigbigmongey",3,00:19:00.930,1140930,"Sniper Duel",NA,38
"203","Snakezy",1,00:19:11.866,1151866,"Remote Getaway",NA,34
"204","blakwolf_",5,00:19:12.692,1152692,"You Need a Mint",NA,32
"205","Erikfzf",4,00:19:21.188,1161188,NA,"dragon_death",32
"206","Erikfzf",4,00:19:21.188,1161188,"Free the End",NA,33
"207","Erikfzf",4,00:19:35.536,1175536,"The Next Generation",NA,34
"208","Snakezy",1,00:19:50.366,1190366,"The City at the End of the Game",NA,35
