"","player","standing","time","time_ms","advancement","ranked_event","n_advancements"
"127","NottAntoo",5,00:08:03.368,483368,"Suit Up",NA,20
"128","NottAntoo",5,00:08:13.820,493820,"Not Today, Thank You",NA,21
"129","draconix6",6,00:08:21.260,501260,NA,"death",18
"130","hackingnoisess",4,00:08:21.348,501348,"A Terrible Fortress",NA,23
"131","oxidiot",2,00:08:23.069,503069,NA,"blind_travel",25
"132","TigerMCSR",1,00:08:23.358,503358,"Into Fire",NA,22
"133","dbowzer",3,00:08:33.603,513602,"A Terrible Fortress",NA,22
"134","TigerMCSR",1,00:08:34.573,514573,"Ol' Betsy",NA,23
"135","hackingnoisess",4,00:08:45.171,525171,"Monster Hunter",NA,24
"136","TigerMCSR",1,00:08:45.406,525406,"Not Today, Thank You",NA,24
"137","TigerMCSR",1,00:08:45.439,525439,"Take Aim",NA,25
"138","hackingnoisess",4,00:08:47.099,527099,"Into Fire",NA,25
"139","dbowzer",3,00:08:48.520,528520,"Monster Hunter",NA,23
"140","dbowzer",3,00:08:51.158,531158,"Into Fire",NA,24
"141","NottAntoo",5,00:08:52.767,532767,"A Terrible Fortress",NA,22
"142","dbowzer",3,00:08:55.522,535522,"Local Brewery",NA,25
"143","NottAntoo",5,00:09:12.068,552068,"Into Fire",NA,23
"144","TigerMCSR",1,00:09:21.599,561599,"Local Brewery",NA,26
"145","NottAntoo",5,00:09:24.342,564342,"Not Quite ""Nine"" Lives",NA,24
"146","hackingnoisess",4,00:09:31.777,571777,NA,"blind_travel",25
"147","TigerMCSR",1,00:09:58.706,598706,NA,"blind_travel",26
"148","dbowzer",3,00:10:04.806,604806,NA,"blind_travel",25
"149","draconix6",6,00:10:19.092,619092,"A Terrible Fortress",NA,19
"150","hackingnoisess",4,00:10:26.612,626612,"Local Brewery",NA,26
"151","draconix6",6,00:10:35.835,635835,"Into Fire",NA,20
"152","oxidiot",2,00:10:44.886,644886,"Eye Spy",NA,26
"153","NottAntoo",5,00:10:47.718,647718,NA,"blind_travel",24
"154","draconix6",6,00:10:55.870,655870,"Ol' Betsy",NA,21
"155","draconix6",6,00:11:11.516,671516,"Take Aim",NA,22
"156","draconix6",6,00:11:16.063,676063,"Not Today, Thank You",NA,23
"157","NottAntoo",5,00:11:17.035,677035,"Sweet Dreams",NA,25
"158","hackingnoisess",4,00:11:24.897,684897,"Eye Spy",NA,27
"159","draconix6",6,00:11:34.767,694767,"Not Quite ""Nine"" Lives",NA,24
"160","TigerMCSR",1,00:11:39.857,699857,"Eye Spy",NA,27
"161","dbowzer",3,00:11:39.868,699868,"Sweet Dreams",NA,26
"162","TigerMCSR",1,00:11:42.918,702918,"Sweet Dreams",NA,28
"163","oxidiot",2,00:11:58.290,718290,"The End?",NA,27
"164","draconix6",6,00:12:00.000,720000,NA,"eliminate",24
"165","dbowzer",3,00:12:48.159,768159,"Eye Spy",NA,27
"166","hackingnoisess",4,00:12:48.788,768788,"Sweet Dreams",NA,28
"167","TigerMCSR",1,00:12:50.872,770872,"The End?",NA,29
"168","hackingnoisess",4,00:12:53.467,773467,"The End?",NA,29
"169","oxidiot",2,00:12:54.626,774626,"You Need a Mint",NA,28
"170","NottAntoo",5,00:12:58.423,778423,"Eye Spy",NA,26
"171","TigerMCSR",1,00:13:17.465,797465,"Free the End",NA,30
"172","hackingnoisess",4,00:13:21.964,801964,"Free the End",NA,30
"173","oxidiot",2,00:13:28.305,808305,"Free the End",NA,29
"174","oxidiot",2,00:13:28.390,808390,NA,"dragon_death",29
"175","TigerMCSR",1,00:13:28.957,808957,NA,"dragon_death",30
"176","hackingnoisess",4,00:13:32.353,812353,NA,"dragon_death",30
"177","TigerMCSR",1,00:13:43.259,823259,"The Next Generation",NA,31
"178","oxidiot",2,00:13:59.596,839596,"Remote Getaway",NA,30
"179","TigerMCSR",1,00:14:05.154,845154,"Remote Getaway",NA,32
"180","hackingnoisess",4,00:14:05.202,845202,"Remote Getaway",NA,31
"181","dbowzer",3,00:14:15.106,855106,"The End?",NA,28
"182","NottAntoo",5,00:14:34.175,874175,"The End?",NA,27
"183","dbowzer",3,00:14:35.902,875902,"You Need a Mint",NA,29
"184","NottAntoo",5,00:14:43.577,883577,NA,"death",27
"185","NottAntoo",5,00:16:09.316,969316,NA,"death",27
"186","hackingnoisess",4,00:16:13.310,973310,"The City at the End of the Game",NA,32
"187","dbowzer",3,00:16:19.945,979945,"Free the End",NA,30
"188","dbowzer",3,00:16:20.055,980055,NA,"dragon_death",30
"189","TigerMCSR",1,00:16:21.663,981663,"The City at the End of the Game",NA,33
"190","TigerMCSR",1,00:16:38.163,998163,"Sky's the Limit",NA,34
"191","oxidiot",2,00:16:46.942,1006942,"The City at the End of the Game",NA,31
