"","player","time","time_ms","advancement","ranked_event","n_advancements"
"265","infume",00:52:19.356,3139356,"Bee Our Guest",NA,57
"266","infume",00:52:27.406,3147406,"Sticky Situation",NA,58
"267","7rowl",00:55:43.281,3343281,"The End... Again...",NA,55
"268","7rowl",00:55:56.932,3356932,"You Need a Mint",NA,56
"269","7rowl",00:55:58.430,3358430,NA,"death",56
"270","infume",00:57:57.888,3477888,"Serious Dedication",NA,59
"271","7rowl",00:58:27.198,3507198,"Country Lode, Take Me Home",NA,57
"272","7rowl",00:58:43.241,3523241,"Hidden in the Depths",NA,58
"273","infume",00:58:48.331,3528331,"The End... Again...",NA,60
"274","infume",00:59:01.080,3541080,"You Need a Mint",NA,61
"275","infume",00:59:04.429,3544429,NA,"death",61
"276","7rowl",01:00:00.007,3600007,NA,"eliminate",58
