"","player","time","time_ms","advancement","ranked_event","n_advancements"
"214","joshteautwins",00:19:48.257,1188257,"Free the End",NA,30
"215","joshteautwins",00:19:48.326,1188326,NA,"dragon_death",30
"216","fudge1",00:19:51.174,1191174,"The City at the End of the Game",NA,35
"217","fudge1",00:20:21.420,1221420,"Sky's the Limit",NA,36
"218","joshteautwins",00:20:21.909,1221909,"Remote Getaway",NA,31
"219","fudge1",00:20:25.368,1225368,"Diamonds!",NA,37
"220","Feinberg",00:20:30.744,1230744,"The Next Generation",NA,37
"221","fudge1",00:20:31.020,1231020,"Cover Me With Diamonds",NA,38
"222","fudge1",00:20:58.621,1258621,"Great View From Up Here",NA,39
"223","joshteautwins",00:20:59.824,1259824,"The City at the End of the Game",NA,32
"224","okrzej1",00:21:15.593,1275593,"The Next Generation",NA,36
"225","joshteautwins",00:21:25.324,1285324,"Diamonds!",NA,33
"226","danterustv",00:21:25.982,1285982,"Great View From Up Here",NA,35
"227","joshteautwins",00:21:26.573,1286573,"Cover Me With Diamonds",NA,34
"228","joshteautwins",00:21:38.028,1298028,"Sky's the Limit",NA,35
"229","okrzej1",00:21:56.605,1316605,"Voluntary Exile",NA,37
"230","okrzej1",00:21:56.632,1316632,"Who's the Pillager Now?",NA,38
"231","okrzej1",00:22:21.846,1341846,"Best Friends Forever",NA,39
"232","joshteautwins",00:22:30.389,1350389,"Great View From Up Here",NA,36
"233","danterustv",00:22:36.590,1356590,"Voluntary Exile",NA,36
"234","danterustv",00:22:36.591,1356591,"Who's the Pillager Now?",NA,37
"235","Feinberg",00:23:07.783,1387783,"Enchanter",NA,38
"236","fudge1",00:23:42.893,1422893,"The Next Generation",NA,40
"237","joshteautwins",00:24:00.003,1440003,NA,"eliminate",36
"238","fudge1",00:24:02.630,1442630,"Voluntary Exile",NA,41
"239","fudge1",00:24:02.646,1442646,"Who's the Pillager Now?",NA,42
"240","okrzej1",00:25:27.689,1527689,"Enchanter",NA,40
"241","Feinberg",00:25:33.624,1533624,"Bullseye",NA,39
"242","Feinberg",00:25:47.949,1547949,"Voluntary Exile",NA,40
"243","Feinberg",00:25:48.025,1548025,"Who's the Pillager Now?",NA,41
"244","fudge1",00:26:00.033,1560033,"Sniper Duel",NA,43
"245","danterustv",00:27:59.480,1679480,"Enchanter",NA,38
"246","danterustv",00:29:49.660,1789660,"Hired Help",NA,39
"247","Feinberg",00:30:03.690,1803690,"Hero of the Village",NA,42
"248","Feinberg",00:30:03.925,1803925,"Postmortal",NA,43
"249","fudge1",00:30:47.672,1847672,"This Boat Has Legs",NA,44
"250","danterustv",00:31:20.962,1880962,"Bullseye",NA,40
"251","okrzej1",00:31:26.382,1886382,"Hero of the Village",NA,41
"252","fudge1",00:32:05.865,1925865,"Hot Tourist Destinations",NA,45
"253","okrzej1",00:32:06.039,1926039,"Postmortal",NA,42
"254","Feinberg",00:32:48.048,1968048,"Sniper Duel",NA,44
"255","danterustv",00:33:10.197,1990197,"Hot Tourist Destinations",NA,41
"256","danterustv",00:33:26.793,2006793,"Return to Sender",NA,42
"257","Feinberg",00:34:05.165,2045165,"Total Beelocation",NA,45
"258","okrzej1",00:34:07.408,2047408,"Bullseye",NA,43
"259","fudge1",00:34:18.763,2058763,"Subspace Bubble",NA,46
"260","fudge1",00:34:32.434,2072434,"Uneasy Alliance",NA,47
"261","Feinberg",00:34:39.845,2079844,"Return to Sender",NA,46
"262","danterustv",00:34:46.224,2086224,"Subspace Bubble",NA,43
"263","fudge1",00:34:47.966,2087966,"Serious Dedication",NA,48
"264","Feinberg",00:34:51.796,2091795,"Hot Tourist Destinations",NA,47
"265","danterustv",00:35:01.759,2101759,"Uneasy Alliance",NA,44
"266","fudge1",00:35:10.973,2110973,"Hired Help",NA,49
"267","Feinberg",00:35:13.592,2113592,"Hidden in the Depths",NA,48
"268","Feinberg",00:35:42.960,2142960,"This Boat Has Legs",NA,49
"269","okrzej1",00:35:51.710,2151710,"Sniper Duel",NA,44
