"","player","time_ms","advancement","ranked_event","n_advancements"
"145","modestmousefan11",594464,"Ol' Betsy",NA,23
"146","modestmousefan11",596875,"Take Aim",NA,24
"147","Feinberg",600330,"Fishy Business",NA,25
"148","danterus",603161,"Isn't It Iron Pick",NA,24
"149","modestmousefan11",606175,"Not Today, Thank You",NA,25
"150","okrzej_",607792,NA,"blind_travel",24
"151","Feinberg",616341,"Local Brewery",NA,26
"152","Feinberg",621569,"Not Today, Thank You",NA,27
"153","Feinberg",621578,"Take Aim",NA,28
"154","Feinberg",625228,"Ol' Betsy",NA,29
"155","modestmousefan11",628241,NA,"blind_travel",25
"156","Feinberg",633384,"Sweet Dreams",NA,30
"157","okrzej_",636055,"Bullseye",NA,25
"158","fujge",643785,"Country Lode, Take Me Home",NA,22
"159","modestmousefan11",646084,"Local Brewery",NA,26
"160","AutomattPLUS",646665,"Return to Sender",NA,27
"161","okrzej_",647195,"Not Quite ""Nine"" Lives",NA,26
"162","okrzej_",650196,"Sweet Dreams",NA,27
"163","danterus",651810,"Eye Spy",NA,25
"164","modestmousefan11",655927,"Sweet Dreams",NA,27
"165","fujge",661861,"Suit Up",NA,23
"166","fujge",671082,"Isn't It Iron Pick",NA,24
"167","AutomattPLUS",675564,"Eye Spy",NA,28
"168","AutomattPLUS",679140,"Sweet Dreams",NA,29
"169","okrzej_",684330,"Local Brewery",NA,28
"170","Feinberg",689315,"Eye Spy",NA,31
"171","AutomattPLUS",702010,"Country Lode, Take Me Home",NA,30
"172","fujge",716991,"A Terrible Fortress",NA,25
"173","danterus",722340,NA,"eliminate",25
"174","fujge",722340,"Into Fire",NA,26
"175","fujge",724135,NA,"death",26
"176","modestmousefan11",745030,"Eye Spy",NA,28
"177","okrzej_",746354,"Eye Spy",NA,29
"178","fujge",765050,"Sweet Dreams",NA,27
"179","Feinberg",788716,"The End?",NA,32
"180","Feinberg",824666,"Free the End",NA,33
"181","Feinberg",835215,NA,"dragon_death",33
"182","AutomattPLUS",851048,"The End?",NA,31
"183","modestmousefan11",852079,"The End?",NA,29
"184","okrzej_",857226,"The End?",NA,30
"185","Feinberg",868956,"Remote Getaway",NA,34
"186","AutomattPLUS",877141,"Free the End",NA,32
"187","okrzej_",886101,"Free the End",NA,31
"188","Feinberg",889066,"The City at the End of the Game",NA,35
"189","AutomattPLUS",890365,NA,"dragon_death",32
"190","okrzej_",896855,NA,"dragon_death",31
"191","modestmousefan11",897274,"You Need a Mint",NA,30
"192","Feinberg",904215,"Cover Me With Diamonds",NA,36
"193","Feinberg",905516,"Sky's the Limit",NA,37
"194","okrzej_",927432,"Remote Getaway",NA,32
"195","AutomattPLUS",931176,"Remote Getaway",NA,33
"196","AutomattPLUS",931435,"Bullseye",NA,34
"197","Feinberg",944265,"Great View From Up Here",NA,38
"198","okrzej_",946261,"The City at the End of the Game",NA,33
"199","okrzej_",954360,"Sky's the Limit",NA,34
"200","AutomattPLUS",954968,"The City at the End of the Game",NA,35
"201","modestmousefan11",958417,"Free the End",NA,31
"202","modestmousefan11",958434,NA,"dragon_death",31
"203","okrzej_",958809,"Cover Me With Diamonds",NA,35
"204","okrzej_",958838,"Suit Up",NA,36
"205","AutomattPLUS",971366,"Sky's the Limit",NA,36
"206","AutomattPLUS",971409,"Cover Me With Diamonds",NA,37
"207","modestmousefan11",983551,"Remote Getaway",NA,32
"208","modestmousefan11",1002033,"The City at the End of the Game",NA,33
"209","modestmousefan11",1012831,"Sky's the Limit",NA,34
"210","modestmousefan11",1018931,"Cover Me With Diamonds",NA,35
"211","fujge",1041911,"Local Brewery",NA,28
"212","fujge",1054077,"Not Quite ""Nine"" Lives",NA,29
"213","modestmousefan11",1077627,"Great View From Up Here",NA,36
"214","fujge",1083128,NA,"blind_travel",29
"215","AutomattPLUS",1109171,"Great View From Up Here",NA,38
"216","Feinberg",1140866,"The Next Generation",NA,39
"217","Feinberg",1173020,"Bullseye",NA,40
"218","okrzej_",1205113,"Great View From Up Here",NA,37
"219","fujge",1227351,"Eye Spy",NA,30
"220","okrzej_",1238914,"The Next Generation",NA,38
"221","AutomattPLUS",1244882,"The Next Generation",NA,39
"222","okrzej_",1284223,"Voluntary Exile",NA,39
"223","okrzej_",1284256,"Who's the Pillager Now?",NA,40
"224","modestmousefan11",1290980,"The Next Generation",NA,37
"225","AutomattPLUS",1335417,"Fishy Business",NA,40
"226","AutomattPLUS",1356438,"Voluntary Exile",NA,41
"227","AutomattPLUS",1356483,"Who's the Pillager Now?",NA,42
"228","Feinberg",1394321,"A Throwaway Joke",NA,41
"229","modestmousefan11",1417335,"Voluntary Exile",NA,38
"230","modestmousefan11",1417361,"Who's the Pillager Now?",NA,39
"231","fujge",1440002,NA,"eliminate",30
"232","okrzej_",1445075,"Enchanter",NA,41
"233","AutomattPLUS",1485150,"Enchanter",NA,43
"234","Feinberg",1544923,"Voluntary Exile",NA,42
"235","Feinberg",1545018,"Who's the Pillager Now?",NA,43
"236","okrzej_",1708627,"Hero of the Village",NA,42
"237","okrzej_",1718232,"Postmortal",NA,43
"238","modestmousefan11",1730029,"Hero of the Village",NA,40
"239","Feinberg",1748152,"Hired Help",NA,44
"240","modestmousefan11",1832748,"Bullseye",NA,41
"241","Feinberg",1848914,"Hero of the Village",NA,45
"242","Feinberg",1850415,"Postmortal",NA,46
"243","okrzej_",1895286,"A Throwaway Joke",NA,44
"244","Feinberg",1903943,"Enchanter",NA,47
"245","AutomattPLUS",1963767,"Hero of the Village",NA,44
"246","AutomattPLUS",1966641,"Postmortal",NA,45
"247","okrzej_",1973686,"Sniper Duel",NA,45
"248","Feinberg",1996319,"Sniper Duel",NA,48
"249","okrzej_",2008036,"Total Beelocation",NA,46
"250","modestmousefan11",2009511,"This Boat Has Legs",NA,42
"251","modestmousefan11",2015287,"Return to Sender",NA,43
"252","okrzej_",2049176,"Spooky Scary Skeleton",NA,47
"253","Feinberg",2061013,"Spooky Scary Skeleton",NA,49
"254","okrzej_",2092991,"Oh Shiny",NA,48
"255","modestmousefan11",2103410,"Postmortal",NA,44
"256","modestmousefan11",2123937,"Sniper Duel",NA,45
"257","okrzej_",2137045,"This Boat Has Legs",NA,49
"258","modestmousefan11",2162069,"Subspace Bubble",NA,46
"259","AutomattPLUS",2162070,NA,"eliminate",45
"260","modestmousefan11",2233935,"Uneasy Alliance",NA,47
"261","Feinberg",2234564,"Hidden in the Depths",NA,50
"262","okrzej_",2249036,"Return to Sender",NA,50
"263","Feinberg",2259663,"Serious Dedication",NA,51
"264","Feinberg",2281216,"Hot Tourist Destinations",NA,52
"265","Feinberg",2283076,"This Boat Has Legs",NA,53
"266","Feinberg",2302639,"Subspace Bubble",NA,54
"267","modestmousefan11",2305807,"Country Lode, Take Me Home",NA,48
"268","okrzej_",2453740,"Hot Tourist Destinations",NA,51
"269","Feinberg",2479168,"Very Very Frightening",NA,55
"270","Feinberg",2544664,"Withering Heights",NA,56
"271","okrzej_",2564436,"Hidden in the Depths",NA,52
"272","modestmousefan11",2585426,"Total Beelocation",NA,49
"273","Feinberg",2621415,"Zombie Doctor",NA,57
"274","Feinberg",2670516,"Bring Home the Beacon",NA,58
"275","okrzej_",2673985,"Subspace Bubble",NA,53
"276","modestmousefan11",2705300,"Enchanter",NA,50
"277","okrzej_",2760371,"Withering Heights",NA,54
"278","Feinberg",2764158,"Uneasy Alliance",NA,59
"279","okrzej_",2798650,"Bring Home the Beacon",NA,55
"280","Feinberg",2847667,"Total Beelocation",NA,60
"281","modestmousefan11",2880005,NA,"eliminate",50
"282","okrzej_",2891540,"Uneasy Alliance",NA,56
"283","Feinberg",3190517,"Arbalistic",NA,61
"284","okrzej_",3196300,"Bee Our Guest",NA,57
"285","Feinberg",3200267,"Bee Our Guest",NA,62
"286","okrzej_",3250004,"Serious Dedication",NA,58
"287","Feinberg",3364814,"The End... Again...",NA,63
"288","Feinberg",3378364,"You Need a Mint",NA,64
"289","Feinberg",3380014,NA,"death",64
"290","okrzej_",3423859,"Arbalistic",NA,59
"291","okrzej_",3544707,"The End... Again...",NA,60
"292","okrzej_",3557902,"You Need a Mint",NA,61
"293","Feinberg",3561335,"Sticky Situation",NA,65
"294","okrzej_",3561861,NA,"death",61
"295","okrzej_",3574761,"Sticky Situation",NA,62
"296","Feinberg",3575002,NA,"death_spawnpoint",65
"297","okrzej_",3584861,NA,"death_spawnpoint",62
"298","okrzej_",3600007,NA,"eliminate",62
