"","player","time_ms","advancement","ranked_event","n_advancements"
"127","89_89",505593,"Those Were the Days",NA,26
"128","L9_FOXGIRLPAWJOB",506156,"Not Quite ""Nine"" Lives",NA,22
"129","L9_FOXGIRLPAWJOB",508943,"Suit Up",NA,23
"130","89_89",511394,"Oh Shiny",NA,27
"131","silverrruns",512611,"Return to Sender",NA,17
"132","silverrruns",512760,"Monster Hunter",NA,18
"133","L9_FOXGIRLPAWJOB",514794,"Local Brewery",NA,24
"134","SuperC_",524641,"A Terrible Fortress",NA,22
"135","L9_FOXGIRLPAWJOB",528145,"Take Aim",NA,25
"136","89_89",530044,"Ice Bucket Challenge",NA,28
"137","retropog",530956,"Return to Sender",NA,24
"138","L9_FOXGIRLPAWJOB",532359,"Not Today, Thank You",NA,26
"139","retropog",532407,NA,"death",24
"140","hsbi",535719,"The Parrots and the Bats",NA,20
"141","hsbi",544825,"A Terrible Fortress",NA,21
"142","silverrruns",549509,"A Terrible Fortress",NA,19
"143","89_89",554748,"Who is Cutting Onions?",NA,29
"144","L9_FOXGIRLPAWJOB",565966,NA,"blind_travel",26
"145","silverrruns",568060,"Into Fire",NA,20
"146","SuperC_",577640,"Into Fire",NA,23
"147","89_89",582921,"War Pigs",NA,30
"148","L9_FOXGIRLPAWJOB",586898,"Tactical Fishing",NA,27
"149","silverrruns",593463,"Not Quite ""Nine"" Lives",NA,21
"150","silverrruns",598756,"Suit Up",NA,22
"151","89_89",599460,"Ol' Betsy",NA,31
"152","89_89",600543,"Take Aim",NA,32
"153","SuperC_",601483,"Local Brewery",NA,24
"154","hsbi",602126,"Into Fire",NA,22
"155","silverrruns",603314,"Ol' Betsy",NA,23
"156","silverrruns",607405,"Not Today, Thank You",NA,24
"157","silverrruns",607553,"Take Aim",NA,25
"158","SuperC_",613624,"Ol' Betsy",NA,25
"159","SuperC_",614294,"Take Aim",NA,26
"160","SuperC_",614294,"Not Today, Thank You",NA,27
"161","89_89",615994,"Not Today, Thank You",NA,33
"162","hsbi",616634,"Ol' Betsy",NA,23
"163","89_89",622587,"Not Quite ""Nine"" Lives",NA,34
"164","hsbi",623514,"Not Today, Thank You",NA,24
"165","hsbi",623515,"Take Aim",NA,25
"166","L9_FOXGIRLPAWJOB",626541,"Eye Spy",NA,28
"167","SuperC_",628239,"Suit Up",NA,28
"168","L9_FOXGIRLPAWJOB",633722,"Sweet Dreams",NA,29
"169","hsbi",640682,NA,"blind_travel",25
"170","SuperC_",641190,NA,"blind_travel",28
"171","silverrruns",647627,"Local Brewery",NA,26
"172","SuperC_",663395,"Sweet Dreams",NA,29
"173","silverrruns",666342,NA,"blind_travel",26
"174","retropog",670748,"A Terrible Fortress",NA,25
"175","hsbi",673969,"Local Brewery",NA,26
"176","89_89",687343,"A Terrible Fortress",NA,35
"177","silverrruns",688741,"Sweet Dreams",NA,27
"178","silverrruns",703746,"Oh Shiny",NA,28
"179","89_89",707147,"A Seedy Place",NA,36
"180","L9_FOXGIRLPAWJOB",712950,"The End?",NA,30
"181","hsbi",713096,"Not Quite ""Nine"" Lives",NA,27
"182","89_89",717148,"Monster Hunter",NA,37
"183","89_89",720000,NA,"eliminate",37
"184","retropog",727855,"Into Fire",NA,26
"185","SuperC_",730605,"Eye Spy",NA,30
"186","silverrruns",733207,"Eye Spy",NA,29
"187","L9_FOXGIRLPAWJOB",742924,"Free the End",NA,31
"188","L9_FOXGIRLPAWJOB",753392,NA,"dragon_death",31
"189","retropog",776424,NA,"blind_travel",26
"190","retropog",778734,"Sweet Dreams",NA,27
"191","L9_FOXGIRLPAWJOB",780883,"Remote Getaway",NA,32
"192","L9_FOXGIRLPAWJOB",802899,"The City at the End of the Game",NA,33
"193","silverrruns",810746,"The End?",NA,30
"194","hsbi",828896,"Eye Spy",NA,28
"195","L9_FOXGIRLPAWJOB",839344,"Sky's the Limit",NA,34
"196","SuperC_",843148,"The End?",NA,31
"197","silverrruns",850304,"Free the End",NA,31
"198","retropog",853350,"Eye Spy",NA,28
"199","silverrruns",861256,NA,"dragon_death",31
"200","L9_FOXGIRLPAWJOB",874544,"Great View From Up Here",NA,35
"201","silverrruns",889573,"Remote Getaway",NA,32
"202","L9_FOXGIRLPAWJOB",910144,"Cover Me With Diamonds",NA,36
"203","silverrruns",920908,"The City at the End of the Game",NA,33
"204","SuperC_",938666,"Free the End",NA,32
"205","SuperC_",938761,NA,"dragon_death",32
"206","SuperC_",956197,"The Next Generation",NA,33
"207","silverrruns",957557,"Sky's the Limit",NA,34
"208","SuperC_",973000,"Remote Getaway",NA,34
"209","hsbi",976535,"The End?",NA,29
"210","silverrruns",995258,"Cover Me With Diamonds",NA,35
"211","SuperC_",1006796,"The City at the End of the Game",NA,35
"212","retropog",1010282,"The End?",NA,29
"213","hsbi",1010793,"Free the End",NA,30
"214","hsbi",1020467,NA,"dragon_death",30
"215","retropog",1038594,"Free the End",NA,30
"216","hsbi",1046070,"The Next Generation",NA,31
"217","retropog",1048990,NA,"dragon_death",30
"218","SuperC_",1064098,"Sky's the Limit",NA,36
"219","hsbi",1065039,"Remote Getaway",NA,32
"220","retropog",1069418,"Bullseye",NA,31
"221","retropog",1086037,"Remote Getaway",NA,32
"222","silverrruns",1094658,"Great View From Up Here",NA,36
"223","SuperC_",1104851,"Cover Me With Diamonds",NA,37
"224","L9_FOXGIRLPAWJOB",1119945,"The Next Generation",NA,37
"225","retropog",1132169,"The City at the End of the Game",NA,33
"226","hsbi",1150840,"The City at the End of the Game",NA,33
"227","SuperC_",1194953,"Great View From Up Here",NA,38
"228","silverrruns",1220910,"The Next Generation",NA,37
"229","retropog",1237043,"Great View From Up Here",NA,34
"230","hsbi",1242172,"Sky's the Limit",NA,34
"231","hsbi",1257877,"Great View From Up Here",NA,35
"232","hsbi",1287868,"Cover Me With Diamonds",NA,36
"233","L9_FOXGIRLPAWJOB",1339620,"Voluntary Exile",NA,38
"234","L9_FOXGIRLPAWJOB",1339658,"Who's the Pillager Now?",NA,39
"235","silverrruns",1382566,"Bullseye",NA,38
"236","SuperC_",1384758,"Sniper Duel",NA,39
"237","retropog",1386251,"Sky's the Limit",NA,35
"238","retropog",1398039,"Local Brewery",NA,36
"239","silverrruns",1415217,"Voluntary Exile",NA,39
"240","silverrruns",1415342,"Who's the Pillager Now?",NA,40
"241","SuperC_",1430862,"Who's the Pillager Now?",NA,40
"242","hsbi",1452263,NA,"eliminate",36
"243","retropog",1452263,"The Next Generation",NA,37
"244","L9_FOXGIRLPAWJOB",1455171,"Enchanter",NA,40
"245","retropog",1497371,"Cover Me With Diamonds",NA,38
"246","SuperC_",1504562,"Voluntary Exile",NA,41
"247","silverrruns",1694408,"Hero of the Village",NA,41
"248","silverrruns",1705912,"Postmortal",NA,42
"249","L9_FOXGIRLPAWJOB",1707741,"Hero of the Village",NA,41
"250","silverrruns",1782292,"Enchanter",NA,43
