"","player","time","time_ms","advancement","ranked_event","n_advancements"
"268","Oxidiot",00:45:36.896,2736896,"Bring Home the Beacon",NA,54
"269","NOHACKSJUSTTIGER",00:46:02.132,2762132,"Total Beelocation",NA,56
"270","Oxidiot",00:46:19.011,2779011,"Hired Help",NA,55
"271","NOHACKSJUSTTIGER",00:46:45.281,2805281,"Bring Home the Beacon",NA,57
"272","Oxidiot",00:46:49.863,2809863,"Total Beelocation",NA,56
"273","Oxidiot",00:47:12.863,2832863,"Bee Our Guest",NA,57
"274","NOHACKSJUSTTIGER",00:47:42.084,2862084,"Arbalistic",NA,58
"275","hackingnoises",00:48:00.005,2880005,NA,"eliminate",45
"276","Oxidiot",00:49:09.796,2949796,"The End... Again...",NA,58
"277","Oxidiot",00:49:19.945,2959945,"You Need a Mint",NA,59
"278","Oxidiot",00:49:22.795,2962795,NA,"death",59
"279","NOHACKSJUSTTIGER",00:50:24.306,3024306,"Hired Help",NA,59
"280","Oxidiot",00:51:15.054,3075054,"A Throwaway Joke",NA,60
"281","NOHACKSJUSTTIGER",00:58:49.435,3529435,"The End... Again...",NA,60
"282","Oxidiot",00:59:14.947,3554947,"Country Lode, Take Me Home",NA,61
"283","Oxidiot",00:59:24.810,3564810,"Serious Dedication",NA,62
"284","NOHACKSJUSTTIGER",00:59:36.260,3576260,"Bee Our Guest",NA,61
"285","NOHACKSJUSTTIGER",01:00:00.006,3600006,NA,"eliminate",61
