"","player","time","time_ms","advancement","ranked_event","n_advancements"
"1","ANTOlNE",00:00:30.294,30294,"Acquire Hardware",NA,1
"2","ANTOlNE",00:00:30.400,30400,"Stone Age",NA,2
"3","iinterp",00:00:30.872,30872,"Acquire Hardware",NA,1
"4","Infume",00:00:31.512,31512,"Acquire Hardware",NA,1
"5","JakkeBoy3651",00:00:31.684,31684,"Acquire Hardware",NA,1
"6","iinterp",00:00:32.782,32782,"Stone Age",NA,2
"7","JakkeBoy3651",00:00:33.532,33532,"Stone Age",NA,2
"8","7rowl",00:00:34.172,34172,"Acquire Hardware",NA,1
"9","7rowl",00:00:34.173,34173,"Stone Age",NA,2
"10","maskers_",00:00:34.398,34398,"Acquire Hardware",NA,1
"11","Infume",00:00:34.431,34431,"Stone Age",NA,2
"12","maskers_",00:00:37.900,37900,"Stone Age",NA,2
"13","Infume",00:01:25.253,85253,"Getting an Upgrade",NA,3
"14","Infume",00:01:25.358,85358,"Isn't It Iron Pick",NA,4
"15","ANTOlNE",00:01:26.589,86589,"Isn't It Iron Pick",NA,3
"16","7rowl",00:01:28.712,88712,"Isn't It Iron Pick",NA,3
"17","iinterp",00:01:30.770,90770,"Getting an Upgrade",NA,3
"18","Infume",00:01:33.137,93137,"Tactical Fishing",NA,5
"19","iinterp",00:01:33.669,93669,"Isn't It Iron Pick",NA,4
"20","JakkeBoy3651",00:01:37.868,97868,"Getting an Upgrade",NA,3
"21","JakkeBoy3651",00:01:37.916,97916,"Isn't It Iron Pick",NA,4
"22","7rowl",00:01:41.235,101235,"A Seedy Place",NA,4
"23","iinterp",00:01:48.756,108756,"A Seedy Place",NA,5
"24","maskers_",00:01:49.035,109035,"Isn't It Iron Pick",NA,3
"25","Infume",00:01:52.178,112178,"A Seedy Place",NA,6
"26","7rowl",00:01:53.411,113411,"The Parrots and the Bats",NA,5
"27","JakkeBoy3651",00:02:05.252,125252,"A Seedy Place",NA,5
"28","7rowl",00:02:07.101,127101,"What a Deal!",NA,6
"29","maskers_",00:02:08.451,128451,"A Seedy Place",NA,4
"30","Infume",00:02:18.705,138705,"The Parrots and the Bats",NA,7
"31","7rowl",00:02:27.312,147312,"Hot Stuff",NA,7
"32","JakkeBoy3651",00:02:28.916,148916,"The Parrots and the Bats",NA,6
"33","ANTOlNE",00:02:29.331,149331,"What a Deal!",NA,4
"34","iinterp",00:02:37.442,157442,"What a Deal!",NA,6
"35","maskers_",00:02:38.139,158139,"The Parrots and the Bats",NA,5
"36","7rowl",00:02:47.364,167364,"Getting an Upgrade",NA,8
"37","ANTOlNE",00:02:55.088,175088,"The Parrots and the Bats",NA,5
"38","Infume",00:02:58.508,178508,"Hot Stuff",NA,8
"39","7rowl",00:03:07.454,187454,"We Need to Go Deeper",NA,9
"40","iinterp",00:03:13.272,193272,"The Parrots and the Bats",NA,7
"41","JakkeBoy3651",00:03:15.499,195499,"Tactical Fishing",NA,7
"42","maskers_",00:03:17.696,197696,"Tactical Fishing",NA,6
"43","7rowl",00:03:19.270,199270,"Those Were the Days",NA,10
"44","maskers_",00:03:23.894,203894,"Fishy Business",NA,7
"45","Infume",00:03:25.658,205658,"We Need to Go Deeper",NA,9
"46","maskers_",00:03:34.787,214787,"Hot Stuff",NA,8
"47","JakkeBoy3651",00:03:34.802,214802,"Hot Stuff",NA,8
"48","ANTOlNE",00:03:35.886,215886,"Hot Stuff",NA,6
"49","Infume",00:03:36.958,216958,"Those Were the Days",NA,10
"50","iinterp",00:03:42.599,222599,"Tactical Fishing",NA,8
"51","maskers_",00:03:45.588,225588,"Getting an Upgrade",NA,9
"52","maskers_",00:03:52.188,232188,"We Need to Go Deeper",NA,10
"53","JakkeBoy3651",00:03:56.470,236470,"We Need to Go Deeper",NA,9
"54","iinterp",00:04:09.055,249055,"Fishy Business",NA,9
"55","JakkeBoy3651",00:04:10.716,250716,"Those Were the Days",NA,10
"56","maskers_",00:04:11.041,251041,"Those Were the Days",NA,11
"57","Infume",00:04:23.855,263855,"Ice Bucket Challenge",NA,11
"58","7rowl",00:04:24.180,264180,"Who is Cutting Onions?",NA,11
"59","ANTOlNE",00:04:27.814,267814,"We Need to Go Deeper",NA,7
"60","iinterp",00:04:28.869,268869,"Hot Stuff",NA,10
"61","7rowl",00:04:29.377,269377,"Ice Bucket Challenge",NA,12
"62","Infume",00:04:32.555,272555,"Who is Cutting Onions?",NA,12
"63","iinterp",00:04:41.437,281437,"We Need to Go Deeper",NA,11
"64","Infume",00:04:41.690,281690,"War Pigs",NA,13
"65","7rowl",00:04:43.115,283115,"Oh Shiny",NA,13
"66","maskers_",00:04:43.587,283587,"Oh Shiny",NA,12
"67","7rowl",00:04:44.091,284091,"War Pigs",NA,14
"68","iinterp",00:04:52.373,292373,"Those Were the Days",NA,12
"69","ANTOlNE",00:04:52.412,292412,"Those Were the Days",NA,8
"70","ANTOlNE",00:04:53.539,293539,"Oh Shiny",NA,9
"71","Infume",00:04:54.533,294533,"Fishy Business",NA,14
"72","Infume",00:05:04.113,304113,"Suit Up",NA,15
"73","maskers_",00:05:08.042,308042,"Ice Bucket Challenge",NA,13
"74","7rowl",00:05:09.592,309592,"Ol' Betsy",NA,15
"75","7rowl",00:05:10.722,310722,"Not Today, Thank You",NA,16
"76","7rowl",00:05:10.763,310763,"Take Aim",NA,17
"77","JakkeBoy3651",00:05:15.496,315496,"War Pigs",NA,11
"78","maskers_",00:05:23.496,323496,"Who is Cutting Onions?",NA,14
"79","JakkeBoy3651",00:05:23.514,323514,"Ice Bucket Challenge",NA,12
"80","iinterp",00:05:24.125,324125,NA,"death",12
"81","maskers_",00:05:46.006,346006,"War Pigs",NA,15
"82","ANTOlNE",00:05:49.040,349040,"Who is Cutting Onions?",NA,10
"83","ANTOlNE",00:05:50.839,350839,"Ice Bucket Challenge",NA,11
"84","JakkeBoy3651",00:05:51.461,351461,"Who is Cutting Onions?",NA,13
"85","Infume",00:06:02.964,362964,"A Terrible Fortress",NA,16
"86","JakkeBoy3651",00:06:04.050,364050,"Country Lode, Take Me Home",NA,14
"87","JakkeBoy3651",00:06:11.764,371764,"Suit Up",NA,15
"88","ANTOlNE",00:06:13.156,373156,"War Pigs",NA,12
"89","Infume",00:06:13.164,373164,"Not Today, Thank You",NA,17
"90","Infume",00:06:14.537,374537,"Ol' Betsy",NA,18
"91","Infume",00:06:14.642,374642,"Take Aim",NA,19
"92","Infume",00:06:15.835,375835,"Monster Hunter",NA,20
"93","JakkeBoy3651",00:06:22.158,382158,"Oh Shiny",NA,16
"94","7rowl",00:06:27.620,387620,"A Terrible Fortress",NA,18
"95","ANTOlNE",00:06:52.441,412441,"Not Today, Thank You",NA,13
"96","ANTOlNE",00:06:52.448,412448,"Take Aim",NA,14
"97","ANTOlNE",00:06:57.607,417607,"Ol' Betsy",NA,15
"98","ANTOlNE",00:07:00.891,420891,"Suit Up",NA,16
"99","maskers_",00:07:03.042,423042,"A Terrible Fortress",NA,16
"100","Infume",00:07:03.852,423852,"Into Fire",NA,21
"101","maskers_",00:07:05.059,425059,"Monster Hunter",NA,17
"102","ANTOlNE",00:07:18.509,438509,"Local Brewery",NA,17
"103","JakkeBoy3651",00:07:26.709,446709,"A Terrible Fortress",NA,17
"104","7rowl",00:07:26.744,446744,"Monster Hunter",NA,19
"105","maskers_",00:07:27.256,447256,"Ol' Betsy",NA,18
"106","maskers_",00:07:27.312,447312,"Take Aim",NA,19
"107","iinterp",00:07:48.719,468719,"Ice Bucket Challenge",NA,13
"108","iinterp",00:07:50.622,470622,"Who is Cutting Onions?",NA,14
"109","iinterp",00:07:52.598,472598,"War Pigs",NA,15
"110","ANTOlNE",00:07:55.406,475406,"A Terrible Fortress",NA,18
"111","maskers_",00:07:58.839,478839,"Diamonds!",NA,20
"112","iinterp",00:07:59.916,479916,"Oh Shiny",NA,16
"113","JakkeBoy3651",00:08:02.446,482446,"Monster Hunter",NA,18
"114","7rowl",00:08:04.722,484722,"Into Fire",NA,20
"115","Infume",00:08:06.490,486490,"Local Brewery",NA,22
"116","iinterp",00:08:09.470,489470,"Suit Up",NA,17
"117","7rowl",00:08:20.289,500289,"Not Quite ""Nine"" Lives",NA,21
"118","ANTOlNE",00:08:33.935,513934,"Diamonds!",NA,19
"119","Infume",00:08:39.580,519580,NA,"blind_travel",22
"120","iinterp",00:08:45.398,525398,"Ol' Betsy",NA,18
"121","JakkeBoy3651",00:08:46.460,526460,"Into Fire",NA,19
"122","iinterp",00:08:47.920,527920,"Not Today, Thank You",NA,19
"123","iinterp",00:08:47.929,527929,"Take Aim",NA,20
"124","ANTOlNE",00:08:52.900,532900,"Monster Hunter",NA,20
"125","7rowl",00:08:54.404,534404,NA,"blind_travel",21
"126","iinterp",00:08:55.396,535396,"Country Lode, Take Me Home",NA,21
"127","JakkeBoy3651",00:08:56.289,536289,"Not Quite ""Nine"" Lives",NA,20
"128","JakkeBoy3651",00:09:01.538,541538,"Fishy Business",NA,21
"129","JakkeBoy3651",00:09:13.090,553090,"Ol' Betsy",NA,22
"130","JakkeBoy3651",00:09:15.094,555094,"Take Aim",NA,23
"131","7rowl",00:09:29.658,569658,"Tactical Fishing",NA,22
"132","iinterp",00:09:33.220,573220,"A Terrible Fortress",NA,22
"133","ANTOlNE",00:09:56.838,596838,"Into Fire",NA,21
"134","ANTOlNE",00:10:03.584,603584,NA,"blind_travel",21
"135","7rowl",00:10:07.357,607357,"Local Brewery",NA,23
