"","player","time_ms","advancement","ranked_event","n_advancements"
"161","7rowl",658548,"Sweet Dreams",NA,27
"162","maskers_",667206,"Tactical Fishing",NA,22
"163","7rowl",667811,"The End?",NA,28
"164","Infume",671565,"Sweet Dreams",NA,28
"165","maskers_",686111,"Fishy Business",NA,23
"166","maskers_",695670,"Sweet Dreams",NA,24
"167","maskers_",708004,"Not Today, Thank You",NA,25
"168","maskers_",720002,NA,"eliminate",25
"169","7rowl",736369,"You Need a Mint",NA,29
"170","JakkeBoy3651",746838,"Eye Spy",NA,28
"171","iinterp",752333,"Eye Spy",NA,28
"172","7rowl",760664,"Free the End",NA,30
"173","7rowl",760797,NA,"dragon_death",30
"174","ANTOlNE",788741,"Eye Spy",NA,27
"175","7rowl",789689,"Remote Getaway",NA,31
"176","Infume",806079,"The End?",NA,29
"177","Infume",839145,"You Need a Mint",NA,30
"178","7rowl",872524,"The City at the End of the Game",NA,32
"179","iinterp",873182,"The End?",NA,29
"180","7rowl",879124,"Suit Up",NA,33
"181","7rowl",882674,"Cover Me With Diamonds",NA,34
"182","7rowl",883337,"Sky's the Limit",NA,35
"183","7rowl",889638,"Local Brewery",NA,36
"184","iinterp",910734,"You Need a Mint",NA,30
"185","Infume",912946,"Free the End",NA,31
"186","Infume",913055,NA,"dragon_death",31
"187","ANTOlNE",939246,"The End?",NA,28
"188","Infume",942686,"Remote Getaway",NA,32
"189","JakkeBoy3651",958031,"The End?",NA,29
"190","ANTOlNE",973488,"You Need a Mint",NA,29
"191","iinterp",976235,"Free the End",NA,31
"192","iinterp",976295,NA,"dragon_death",31
"193","iinterp",995928,"The Next Generation",NA,32
"194","Infume",997100,"The City at the End of the Game",NA,33
"195","7rowl",1008926,"Great View From Up Here",NA,37
"196","JakkeBoy3651",1018130,"You Need a Mint",NA,30
"197","JakkeBoy3651",1024704,"Free the End",NA,31
"198","JakkeBoy3651",1024755,NA,"dragon_death",31
"199","Infume",1034700,"Cover Me With Diamonds",NA,34
"200","Infume",1035349,"Sky's the Limit",NA,35
"201","iinterp",1035571,"Remote Getaway",NA,33
"202","ANTOlNE",1038977,"Free the End",NA,30
"203","ANTOlNE",1039059,NA,"dragon_death",30
"204","JakkeBoy3651",1041929,"The Next Generation",NA,32
"205","ANTOlNE",1062738,"The Next Generation",NA,31
"206","7rowl",1066785,"The Next Generation",NA,38
"207","JakkeBoy3651",1073206,"Remote Getaway",NA,33
"208","ANTOlNE",1095862,"Remote Getaway",NA,32
"209","7rowl",1096890,"Sniper Duel",NA,39
"210","Infume",1138048,"Great View From Up Here",NA,36
"211","JakkeBoy3651",1148605,"The City at the End of the Game",NA,34
"212","Infume",1179752,"The Next Generation",NA,37
"213","iinterp",1191531,"The City at the End of the Game",NA,34
"214","iinterp",1198477,"Cover Me With Diamonds",NA,35
"215","iinterp",1204978,"Suit Up",NA,36
"216","iinterp",1205779,"Sky's the Limit",NA,37
"217","ANTOlNE",1206735,"The City at the End of the Game",NA,33
"218","ANTOlNE",1210159,"Local Brewery",NA,34
"219","JakkeBoy3651",1211127,"Sky's the Limit",NA,35
"220","JakkeBoy3651",1214722,"Cover Me With Diamonds",NA,36
"221","ANTOlNE",1222787,"Sky's the Limit",NA,35
"222","JakkeBoy3651",1237133,"Great View From Up Here",NA,37
"223","Infume",1241202,"Best Friends Forever",NA,38
"224","ANTOlNE",1276286,"Great View From Up Here",NA,36
"225","7rowl",1280197,"Enchanter",NA,40
"226","Infume",1388088,"Enchanter",NA,39
"227","ANTOlNE",1398700,"Voluntary Exile",NA,37
"228","ANTOlNE",1398751,"Who's the Pillager Now?",NA,38
"229","iinterp",1399691,"Voluntary Exile",NA,38
"230","iinterp",1399699,"Who's the Pillager Now?",NA,39
