"","player","time_ms","advancement","ranked_event","n_advancements"
"234","BlakWolf_",1484380,"Voluntary Exile",NA,40
"235","BlakWolf_",1484627,"Who's the Pillager Now?",NA,41
"236","bing_pigs",1588533,"Enchanter",NA,42
"237","BlakWolf_",1601550,"Enchanter",NA,42
"238","suravil",1667372,"Hero of the Village",NA,42
"239","suravil",1670775,"Postmortal",NA,43
"240","Erikfzf",1680328,"Return to Sender",NA,43
"241","suravil",1727431,"Bullseye",NA,44
"242","BlakWolf_",1762049,"This Boat Has Legs",NA,43
"243","BlakWolf_",1774415,"Return to Sender",NA,44
"244","BlakWolf_",1792896,"Spooky Scary Skeleton",NA,45
"245","Erikfzf",1804327,"Hot Tourist Destinations",NA,44
"246","BlakWolf_",1807444,"Hot Tourist Destinations",NA,46
"247","bing_pigs",1821169,"Hot Tourist Destinations",NA,43
"248","bing_pigs",1840664,"Return to Sender",NA,44
"249","bing_pigs",1857366,"Spooky Scary Skeleton",NA,45
"250","BlakWolf_",1864828,"Sniper Duel",NA,47
"251","Erikfzf",1896600,"Subspace Bubble",NA,45
"252","bing_pigs",1899229,"This Boat Has Legs",NA,46
"253","suravil",1952436,"Sniper Duel",NA,45
"254","BlakWolf_",1960367,"Uneasy Alliance",NA,48
"255","suravil",1992119,"Enchanter",NA,46
"256","Erikfzf",1995654,"Uneasy Alliance",NA,46
"257","BlakWolf_",2010425,"Country Lode, Take Me Home",NA,49
"258","bing_pigs",2057283,"Subspace Bubble",NA,47
"259","BlakWolf_",2070420,"Subspace Bubble",NA,50
"260","bing_pigs",2076500,"Uneasy Alliance",NA,48
"261","Erikfzf",2082917,"Enchanter",NA,47
"262","BlakWolf_",2104869,"Total Beelocation",NA,51
"263","suravil",2160004,NA,"eliminate",46
"264","bing_pigs",2219011,"Sniper Duel",NA,49
"265","BlakWolf_",2311117,"Hired Help",NA,52
"266","Erikfzf",2336497,"Hero of the Village",NA,48
"267","Erikfzf",2343953,"Postmortal",NA,49
"268","BlakWolf_",2452846,"Hero of the Village",NA,53
"269","BlakWolf_",2475918,"Postmortal",NA,54
"270","Erikfzf",2524912,"Arbalistic",NA,50
"271","Erikfzf",2585411,"Hidden in the Depths",NA,51
"272","bing_pigs",2598180,"Withering Heights",NA,50
"273","BlakWolf_",2631202,"Arbalistic",NA,55
"274","Erikfzf",2634707,"This Boat Has Legs",NA,52
"275","BlakWolf_",2649103,"Bee Our Guest",NA,56
"276","Erikfzf",2689415,"Spooky Scary Skeleton",NA,53
"277","bing_pigs",2750142,"Bring Home the Beacon",NA,51
"278","bing_pigs",2820163,"Hero of the Village",NA,52
"279","bing_pigs",2857125,"Postmortal",NA,53
"280","bing_pigs",2885757,NA,"eliminate",53
"281","Erikfzf",2885757,"Withering Heights",NA,54
"282","BlakWolf_",2930049,"Sticky Situation",NA,57
"283","BlakWolf_",3179457,"Hidden in the Depths",NA,58
"284","Erikfzf",3190072,"Bring Home the Beacon",NA,55
"285","Erikfzf",3339643,"The End... Again...",NA,56
"286","Erikfzf",3352782,"You Need a Mint",NA,57
"287","Erikfzf",3355494,NA,"death",57
"288","BlakWolf_",3384375,"Zombie Doctor",NA,59
"289","BlakWolf_",3473273,"Serious Dedication",NA,60
"290","Erikfzf",3600006,NA,"eliminate",57
