"","player","time","time_ms","advancement","ranked_event","n_advancements"
"252","chrisXD",00:31:19.795,1879795,"A Throwaway Joke",NA,45
"253","silverrruns",00:31:37.529,1897529,"Sniper Duel",NA,45
"254","waluyoshi",00:31:44.313,1904313,"Hero of the Village",NA,43
"255","chrisXD",00:32:07.493,1927493,"Sniper Duel",NA,46
"256","waluyoshi",00:32:13.776,1933776,"Postmortal",NA,44
"257","SuperC__",00:32:22.970,1942970,"Uneasy Alliance",NA,47
"258","chrisXD",00:33:59.539,2039539,"Return to Sender",NA,47
"259","silverrruns",00:35:02.177,2102177,"This Boat Has Legs",NA,46
"260","waluyoshi",00:35:02.558,2102558,"Hired Help",NA,45
"261","silverrruns",00:35:33.448,2133448,"Hot Tourist Destinations",NA,47
"262","waluyoshi",00:35:53.164,2153164,"Return to Sender",NA,46
"263","waluyoshi",00:36:00.003,2160003,NA,"eliminate",46
"264","chrisXD",00:36:09.719,2169719,"This Boat Has Legs",NA,48
"265","silverrruns",00:37:31.275,2251275,"Subspace Bubble",NA,48
"266","silverrruns",00:37:48.748,2268748,"Uneasy Alliance",NA,49
"267","SuperC__",00:37:49.306,2269306,"Enchanter",NA,48
"268","SuperC__",00:38:49.309,2329309,"Bee Our Guest",NA,49
"269","silverrruns",00:41:00.001,2460001,"A Throwaway Joke",NA,50
"270","chrisXD",00:41:33.372,2493372,"Subspace Bubble",NA,49
"271","chrisXD",00:41:47.735,2507735,"Uneasy Alliance",NA,50
"272","SuperC__",00:42:07.527,2527527,"Hero of the Village",NA,50
"273","chrisXD",00:42:15.550,2535550,"Hot Tourist Destinations",NA,51
"274","SuperC__",00:42:23.017,2543017,"Postmortal",NA,51
"275","silverrruns",00:42:25.251,2545251,"Country Lode, Take Me Home",NA,51
"276","chrisXD",00:43:24.135,2604135,"Spooky Scary Skeleton",NA,52
"277","SuperC__",00:43:40.985,2620985,"Bullseye",NA,52
"278","SuperC__",00:44:20.192,2660192,"Arbalistic",NA,53
"279","silverrruns",00:45:49.998,2749998,"Spooky Scary Skeleton",NA,52
"280","SuperC__",00:47:04.080,2824080,"Hidden in the Depths",NA,54
"281","chrisXD",00:47:21.326,2841326,"Hired Help",NA,53
"282","chrisXD",00:47:45.123,2865123,"Country Lode, Take Me Home",NA,54
"283","silverrruns",00:47:53.631,2873631,"Hired Help",NA,53
"284","silverrruns",00:48:00.004,2880004,NA,"eliminate",53
"285","SuperC__",00:49:28.729,2968729,"The End... Again...",NA,55
"286","SuperC__",00:49:36.536,2976536,"You Need a Mint",NA,56
"287","chrisXD",00:49:39.474,2979474,"Withering Heights",NA,55
"288","SuperC__",00:49:40.435,2980435,NA,"death",56
"289","chrisXD",00:50:15.425,3015425,"Total Beelocation",NA,56
"290","chrisXD",00:50:33.191,3033191,"Bring Home the Beacon",NA,57
"291","SuperC__",00:53:28.176,3208176,"Sticky Situation",NA,57
"292","chrisXD",00:54:44.691,3284691,"Arbalistic",NA,58
"293","SuperC__",00:56:12.528,3372528,"Country Lode, Take Me Home",NA,58
"294","chrisXD",00:56:35.864,3395864,"Hidden in the Depths",NA,59
"295","SuperC__",00:57:18.945,3438945,"Serious Dedication",NA,59
"296","chrisXD",01:00:11.598,3611598,NA,"eliminate",59
"297","SuperC__",01:00:11.598,3611598,"Spooky Scary Skeleton",NA,60
