"","player","time","time_ms","advancement","ranked_event","n_advancements"
"91","Erikfzf",00:05:48.564,348564,"War Pigs",NA,16
"92","Boosfer",00:05:48.879,348879,"Those Were the Days",NA,14
"93","Erikfzf",00:05:50.170,350170,"Oh Shiny",NA,17
"94","Erikfzf",00:05:51.538,351538,"Ice Bucket Challenge",NA,18
"95","BlakWolf_",00:05:55.303,355303,"Oh Shiny",NA,16
"96","BlakWolf_",00:05:55.552,355552,"War Pigs",NA,17
"97","bing_pigs",00:05:57.288,357288,"War Pigs",NA,16
"98","bing_pigs",00:05:59.653,359653,"Ice Bucket Challenge",NA,17
"99","bing_pigs",00:06:00.703,360703,"Oh Shiny",NA,18
"100","BlakWolf_",00:06:07.001,367001,"Ice Bucket Challenge",NA,18
"101","Boosfer",00:06:09.776,369776,"Oh Shiny",NA,15
"102","Boosfer",00:06:11.829,371829,"War Pigs",NA,16
"103","Boosfer",00:06:19.525,379525,"Ice Bucket Challenge",NA,17
"104","Snakezy",00:06:32.843,392843,"Oh Shiny",NA,17
"105","Erikfzf",00:06:53.602,413602,"Who is Cutting Onions?",NA,19
"106","bing_pigs",00:07:17.086,437086,"Who is Cutting Onions?",NA,19
"107","Snakezy",00:07:17.125,437125,"Who is Cutting Onions?",NA,18
"108","suravil",00:07:18.219,438219,"Fishy Business",NA,17
"109","suravil",00:07:21.067,441067,"Ol' Betsy",NA,18
"110","Boosfer",00:07:21.679,441679,"Who is Cutting Onions?",NA,18
"111","suravil",00:07:22.660,442660,"Not Today, Thank You",NA,19
"112","suravil",00:07:22.692,442692,"Take Aim",NA,20
"113","bing_pigs",00:07:22.857,442857,"Suit Up",NA,20
"114","Snakezy",00:07:29.998,449998,"Suit Up",NA,19
"115","Boosfer",00:07:30.480,450480,"Suit Up",NA,19
"116","Erikfzf",00:07:30.793,450793,"Ol' Betsy",NA,20
"117","Erikfzf",00:07:31.994,451994,"Not Today, Thank You",NA,21
"118","Erikfzf",00:07:32.305,452305,"Take Aim",NA,22
"119","suravil",00:07:32.312,452312,"Who is Cutting Onions?",NA,21
"120","BlakWolf_",00:07:36.544,456544,"Who is Cutting Onions?",NA,19
"121","BlakWolf_",00:07:36.791,456791,"Suit Up",NA,20
"122","Boosfer",00:07:46.098,466098,"Ol' Betsy",NA,20
"123","BlakWolf_",00:08:08.747,488747,"Ol' Betsy",NA,21
"124","Snakezy",00:08:10.134,490134,"Monster Hunter",NA,20
"125","BlakWolf_",00:08:11.899,491899,"Take Aim",NA,22
"126","Snakezy",00:08:12.151,492151,"Into Fire",NA,21
"127","bing_pigs",00:08:15.244,495244,"A Terrible Fortress",NA,21
"128","bing_pigs",00:08:20.634,500634,"Monster Hunter",NA,22
"129","Snakezy",00:08:23.145,503145,"A Terrible Fortress",NA,22
"130","bing_pigs",00:08:23.539,503539,"Into Fire",NA,23
"131","BlakWolf_",00:08:25.447,505447,"Not Today, Thank You",NA,23
"132","suravil",00:08:40.774,520774,"Monster Hunter",NA,22
"133","suravil",00:08:41.509,521509,"A Terrible Fortress",NA,23
"134","bing_pigs",00:08:47.636,527636,"Not Quite ""Nine"" Lives",NA,24
"135","Snakezy",00:08:47.993,527993,"Return to Sender",NA,23
"136","Erikfzf",00:08:49.347,529347,"A Terrible Fortress",NA,23
"137","bing_pigs",00:08:50.987,530987,"Ol' Betsy",NA,25
"138","bing_pigs",00:08:54.055,534055,"Not Today, Thank You",NA,26
"139","bing_pigs",00:08:54.138,534138,"Take Aim",NA,27
"140","suravil",00:08:59.613,539613,"Into Fire",NA,24
"141","Erikfzf",00:09:06.632,546632,"Monster Hunter",NA,24
"142","suravil",00:09:08.360,548360,"Local Brewery",NA,25
"143","Boosfer",00:09:13.225,553225,"A Terrible Fortress",NA,21
"144","Erikfzf",00:09:13.888,553888,"Into Fire",NA,25
"145","Boosfer",00:09:24.245,564245,"Monster Hunter",NA,22
"146","BlakWolf_",00:09:27.160,567160,"Monster Hunter",NA,24
"147","BlakWolf_",00:09:29.951,569951,"Into Fire",NA,25
"148","Erikfzf",00:09:30.980,570980,"Not Quite ""Nine"" Lives",NA,26
"149","Boosfer",00:09:38.924,578924,"Into Fire",NA,23
"150","Snakezy",00:09:41.743,581743,"Ol' Betsy",NA,24
"151","BlakWolf_",00:09:43.799,583799,"A Terrible Fortress",NA,26
"152","Snakezy",00:09:49.444,589444,"Fishy Business",NA,25
"153","Boosfer",00:09:51.196,591196,"Local Brewery",NA,24
"154","Boosfer",00:09:52.744,592744,"Not Quite ""Nine"" Lives",NA,25
"155","Boosfer",00:09:56.225,596225,"Not Today, Thank You",NA,26
"156","Boosfer",00:09:56.260,596260,"Take Aim",NA,27
"157","suravil",00:09:57.403,597403,"Cover Me With Diamonds",NA,26
"158","bing_pigs",00:10:00.948,600948,NA,"blind_travel",27
"159","Snakezy",00:10:03.395,603395,"Local Brewery",NA,26
"160","suravil",00:10:04.726,604726,"Not Quite ""Nine"" Lives",NA,27
"161","Snakezy",00:10:06.088,606088,"Not Quite ""Nine"" Lives",NA,27
"162","BlakWolf_",00:10:07.015,607015,"Local Brewery",NA,27
"163","BlakWolf_",00:10:08.649,608649,"Not Quite ""Nine"" Lives",NA,28
"164","Erikfzf",00:10:16.041,616041,"Local Brewery",NA,27
"165","Snakezy",00:10:24.994,624994,"Not Today, Thank You",NA,28
"166","Snakezy",00:10:25.098,625098,"Take Aim",NA,29
"167","bing_pigs",00:10:30.762,630762,"Local Brewery",NA,28
"168","BlakWolf_",00:10:35.391,635391,"Return to Sender",NA,29
"169","Snakezy",00:10:36.205,636205,NA,"blind_travel",29
"170","Erikfzf",00:10:47.749,647749,NA,"blind_travel",27
"171","suravil",00:10:49.349,649349,NA,"blind_travel",27
"172","Snakezy",00:10:50.228,650228,"Sweet Dreams",NA,30
"173","Boosfer",00:10:50.740,650740,NA,"blind_travel",27
"174","Boosfer",00:10:53.799,653799,"Sweet Dreams",NA,28
"175","bing_pigs",00:11:04.489,664489,"Eye Spy",NA,29
"176","bing_pigs",00:11:06.464,666464,"Sweet Dreams",NA,30
"177","suravil",00:11:07.765,667765,"Sweet Dreams",NA,28
"178","Erikfzf",00:11:23.069,683069,"Sweet Dreams",NA,28
"179","BlakWolf_",00:11:34.293,694293,NA,"blind_travel",29
"180","BlakWolf_",00:11:36.349,696349,"Sweet Dreams",NA,30
"181","Snakezy",00:12:03.037,723037,"Eye Spy",NA,31
"182","suravil",00:12:22.451,742451,"Eye Spy",NA,29
"183","Erikfzf",00:12:44.404,764404,"Eye Spy",NA,29
"184","Boosfer",00:12:44.405,764405,NA,"eliminate",28
"185","Erikfzf",00:12:58.175,778175,"Suit Up",NA,30
"186","suravil",00:13:06.573,786573,"Suit Up",NA,30
"187","bing_pigs",00:13:18.203,798203,"The End?",NA,31
"188","BlakWolf_",00:13:33.050,813050,"Eye Spy",NA,31
"189","bing_pigs",00:13:52.714,832714,"Free the End",NA,32
"190","bing_pigs",00:14:04.053,844053,NA,"dragon_death",32
"191","Erikfzf",00:14:26.134,866134,"The End?",NA,31
"192","BlakWolf_",00:14:32.263,872263,"The End?",NA,32
"193","bing_pigs",00:14:35.761,875761,"Remote Getaway",NA,33
"194","bing_pigs",00:14:36.752,876752,"The City at the End of the Game",NA,34
"195","suravil",00:14:42.552,882552,"The End?",NA,31
"196","bing_pigs",00:14:54.743,894743,"Sky's the Limit",NA,35
"197","Erikfzf",00:14:55.408,895408,"You Need a Mint",NA,32
"198","Snakezy",00:15:07.857,907857,"The End?",NA,32
"199","suravil",00:15:12.955,912955,"You Need a Mint",NA,32
"200","Erikfzf",00:15:24.577,924577,"Free the End",NA,33
"201","Erikfzf",00:15:24.578,924578,NA,"dragon_death",33
"202","Snakezy",00:15:42.443,942443,"You Need a Mint",NA,33
"203","Erikfzf",00:15:53.811,953811,"The Next Generation",NA,34
"204","suravil",00:16:10.719,970719,"Free the End",NA,33
"205","suravil",00:16:10.818,970818,NA,"dragon_death",33
"206","Erikfzf",00:16:10.870,970870,"Remote Getaway",NA,35
"207","Erikfzf",00:16:11.183,971183,"The City at the End of the Game",NA,36
"208","BlakWolf_",00:16:17.450,977450,"Free the End",NA,33
"209","BlakWolf_",00:16:17.700,977700,NA,"dragon_death",33
"210","suravil",00:16:27.109,987109,"The Next Generation",NA,34
"211","bing_pigs",00:16:29.561,989561,"Great View From Up Here",NA,36
"212","Erikfzf",00:16:30.567,990567,"Sky's the Limit",NA,37
"213","BlakWolf_",00:16:36.386,996386,"The Next Generation",NA,34
"214","suravil",00:16:54.101,1014101,"Remote Getaway",NA,35
"215","suravil",00:16:54.601,1014601,"The City at the End of the Game",NA,36
"216","Erikfzf",00:16:59.318,1019318,"Great View From Up Here",NA,38
"217","suravil",00:17:07.958,1027958,"Sky's the Limit",NA,37
"218","BlakWolf_",00:17:08.571,1028570,"Remote Getaway",NA,35
"219","BlakWolf_",00:17:08.819,1028819,"The City at the End of the Game",NA,36
"220","BlakWolf_",00:17:15.143,1035143,"Sky's the Limit",NA,37
"221","bing_pigs",00:17:39.491,1059491,"The Next Generation",NA,37
"222","Snakezy",00:17:59.747,1079747,"Free the End",NA,34
"223","Snakezy",00:17:59.851,1079851,NA,"dragon_death",34
"224","BlakWolf_",00:18:03.684,1083684,"Great View From Up Here",NA,38
"225","Snakezy",00:18:26.848,1106848,"Remote Getaway",NA,35
"226","Snakezy",00:18:27.440,1107440,"The City at the End of the Game",NA,36
"227","Snakezy",00:18:34.692,1114692,"Sky's the Limit",NA,37
"228","Snakezy",00:18:54.757,1134757,"Great View From Up Here",NA,38
"229","bing_pigs",00:19:00.664,1140664,"Sniper Duel",NA,38
"230","suravil",00:19:08.759,1148759,"Great View From Up Here",NA,38
"231","BlakWolf_",00:20:41.207,1241207,"Enchanter",NA,39
"232","Snakezy",00:21:37.555,1297555,"The Next Generation",NA,39
"233","Erikfzf",00:21:55.881,1315881,"Bullseye",NA,39
"234","suravil",00:22:00.579,1320579,"Voluntary Exile",NA,39
"235","suravil",00:22:00.608,1320608,"Who's the Pillager Now?",NA,40
"236","Snakezy",00:22:12.455,1332455,"Voluntary Exile",NA,40
"237","Snakezy",00:22:12.534,1332534,"Who's the Pillager Now?",NA,41
"238","Erikfzf",00:22:18.632,1338632,"Who's the Pillager Now?",NA,40
"239","Erikfzf",00:22:18.632,1338632,"Voluntary Exile",NA,41
"240","BlakWolf_",00:22:26.638,1346638,"Bullseye",NA,40
"241","BlakWolf_",00:22:45.983,1365983,"Voluntary Exile",NA,41
"242","BlakWolf_",00:22:46.229,1366229,"Who's the Pillager Now?",NA,42
"243","bing_pigs",00:22:56.493,1376493,"Who's the Pillager Now?",NA,39
"244","bing_pigs",00:22:56.493,1376493,"Voluntary Exile",NA,40
"245","suravil",00:23:04.716,1384716,"Return to Sender",NA,41
"246","Erikfzf",00:23:14.842,1394842,"Sniper Duel",NA,42
"247","Snakezy",00:23:31.506,1411506,"Sniper Duel",NA,42
"248","suravil",00:23:56.724,1436724,"Spooky Scary Skeleton",NA,42
"249","bing_pigs",00:24:00.000,1440000,NA,"eliminate",40
"250","BlakWolf_",00:25:07.223,1507223,"Spooky Scary Skeleton",NA,43
"251","Erikfzf",00:25:40.983,1540983,"This Boat Has Legs",NA,43
"252","BlakWolf_",00:25:48.349,1548349,"This Boat Has Legs",NA,44
"253","Erikfzf",00:26:17.848,1577848,"Return to Sender",NA,44
"254","BlakWolf_",00:27:03.995,1623995,"Hot Tourist Destinations",NA,45
"255","Erikfzf",00:27:16.346,1636346,"Uneasy Alliance",NA,45
"256","BlakWolf_",00:27:38.180,1658180,"Sniper Duel",NA,46
"257","Snakezy",00:27:51.817,1671817,"Total Beelocation",NA,43
"258","suravil",00:27:52.710,1672710,"Hero of the Village",NA,43
"259","BlakWolf_",00:28:34.324,1714324,"Subspace Bubble",NA,47
"260","BlakWolf_",00:28:48.372,1728372,"Uneasy Alliance",NA,48
"261","Erikfzf",00:29:30.551,1770551,"Hot Tourist Destinations",NA,46
"262","suravil",00:29:39.967,1779967,"Bullseye",NA,44
"263","Erikfzf",00:29:41.967,1781967,"Subspace Bubble",NA,47
"264","Snakezy",00:29:42.780,1782780,"Hired Help",NA,44
"265","suravil",00:29:47.249,1787249,"Postmortal",NA,45
"266","BlakWolf_",00:31:44.454,1904454,"A Throwaway Joke",NA,49
"267","Erikfzf",00:32:14.483,1934483,"Enchanter",NA,48
"268","suravil",00:32:18.115,1938115,"Sniper Duel",NA,46
"269","BlakWolf_",00:32:23.148,1943148,"Total Beelocation",NA,50
"270","Snakezy",00:32:24.197,1944197,"Hero of the Village",NA,45
"271","suravil",00:32:35.152,1955152,"Hot Tourist Destinations",NA,47
"272","Snakezy",00:32:37.007,1957007,"Postmortal",NA,46
"273","suravil",00:32:41.281,1961281,"This Boat Has Legs",NA,48
"274","Erikfzf",00:33:04.516,1984516,"A Throwaway Joke",NA,49
"275","Snakezy",00:33:47.471,2027471,"Bullseye",NA,47
"276","Snakezy",00:34:31.027,2071027,"This Boat Has Legs",NA,48
"277","Erikfzf",00:34:32.556,2072556,"Hired Help",NA,50
"278","Snakezy",00:34:52.260,2092260,"Spooky Scary Skeleton",NA,49
"279","BlakWolf_",00:35:15.307,2115307,"Hired Help",NA,51
"280","Snakezy",00:35:23.752,2123752,"Hidden in the Depths",NA,50
"281","Snakezy",00:35:50.530,2150530,"Country Lode, Take Me Home",NA,51
"282","suravil",00:36:00.002,2160002,NA,"eliminate",48
"283","Snakezy",00:36:25.159,2185159,"Hot Tourist Destinations",NA,52
"284","Snakezy",00:37:19.208,2239208,"Subspace Bubble",NA,53
"285","Erikfzf",00:37:44.231,2264231,"Arbalistic",NA,51
"286","Snakezy",00:37:47.517,2267517,"Uneasy Alliance",NA,54
"287","BlakWolf_",00:38:30.404,2310404,"Hero of the Village",NA,52
"288","BlakWolf_",00:38:33.425,2313425,"Postmortal",NA,53
"289","Erikfzf",00:38:36.716,2316716,"Total Beelocation",NA,52
"290","BlakWolf_",00:40:53.923,2453923,"Bee Our Guest",NA,54
"291","Erikfzf",00:41:38.672,2498672,"Hero of the Village",NA,53
"292","Erikfzf",00:41:49.764,2509764,"Postmortal",NA,54
"293","BlakWolf_",00:42:24.103,2544103,"Arbalistic",NA,55
"294","Erikfzf",00:42:45.990,2565990,"Spooky Scary Skeleton",NA,55
"295","Snakezy",00:44:06.295,2646295,"Withering Heights",NA,55
"296","Erikfzf",00:44:09.447,2649447,"Hidden in the Depths",NA,56
"297","BlakWolf_",00:45:48.824,2748824,"Sticky Situation",NA,56
"298","Snakezy",00:46:21.587,2781587,"Enchanter",NA,56
"299","Snakezy",00:46:44.165,2804165,"Bring Home the Beacon",NA,57
"300","Snakezy",00:46:46.260,2806260,"Serious Dedication",NA,58
"301","Snakezy",00:48:21.698,2901698,"Bee Our Guest",NA,59
"302","Snakezy",00:49:59.056,2999056,"The End... Again...",NA,60
"303","Snakezy",00:50:03.795,3003795,NA,"death",60
"304","BlakWolf_",00:50:06.269,3006269,NA,"eliminate",56
"305","Erikfzf",00:50:06.269,3006269,"Serious Dedication",NA,57
"306","Snakezy",00:52:06.121,3126121,"A Throwaway Joke",NA,61
"307","Snakezy",00:53:40.080,3220080,"Arbalistic",NA,62
"308","Snakezy",00:55:14.130,3314130,"Sticky Situation",NA,63
"309","Erikfzf",00:58:13.580,3493580,"Withering Heights",NA,58
"310","Snakezy",00:58:46.567,3526567,"Zombie Doctor",NA,64
"311","Erikfzf",01:00:00.003,3600003,NA,"eliminate",58
