Match ID,API ID
1A1,2497057
1A2,2497480
1A3,2497896
1B1,2503638
1B2,2504040
1B3,2504427
1C1,2544691
1C2,2545215
1C3,2545605
1D1,2565434
1D2,2565762
1D3,2566012
1E1,2616252
1E2,2616659
1E3,2617037
1F1,2623749
1F2,2624010
1F3,2624245
2A1,2634578
2A2,2634952
2A3,2635283
3A1,2641641
3A2,2641941
3A3,2642228
