"match_id","player","standing","time","advancement","ranked_event","n_advancements","time_ms"
"2A1","frankey32_",2,00:05:28.668,"The Parrots and the Bats",NA,17,328668
"2A1","Boosfer",5,00:05:31.695,"Oh Shiny",NA,17,331695
"2A1","draconix6",6,00:05:33.064,"Monster Hunter",NA,20,333064
"2A1","maskers_",4,00:05:39.104,"Those Were the Days",NA,15,339104
"2A1","frankey32_",2,00:05:50.655,"Stone Age",NA,17,350655
"2A1","frankey32_",2,00:05:52.455,"Acquire Hardware",NA,17,352455
"2A1","maskers_",4,00:06:06.059,"Monster Hunter",NA,16,366059
"2A1","maskers_",4,00:06:08.806,"Oh Shiny",NA,17,368806
"2A1","frankey32_",2,00:06:09.250,"A Seedy Place",NA,17,369250
"2A1","maskers_",4,00:06:12.267,"War Pigs",NA,18,372267
"2A1","maskers_",4,00:06:14.240,"Cover Me With Diamonds",NA,19,374240
"2A1","maskers_",4,00:06:15.295,"Ice Bucket Challenge",NA,20,375295
"2A1","frankey32_",2,00:06:26.198,"Best Friends Forever",NA,17,386198
"2A1","Boosfer",5,00:06:35.548,"Monster Hunter",NA,18,395548
"2A1","waluyoshi",3,00:06:41.207,"Ice Bucket Challenge",NA,18,401207
"2A1","joshteautwins",1,00:06:42.857,"Ice Bucket Challenge",NA,20,402857
"2A1","waluyoshi",3,00:06:43.619,"Suit Up",NA,19,403619
"2A1","waluyoshi",3,00:06:44.529,"War Pigs",NA,20,404529
"2A1","draconix6",6,00:06:46.058,NA,"death",20,406058
"2A1","maskers_",4,00:06:53.547,"Suit Up",NA,21,413547
"2A1","frankey32_",2,00:06:56.133,"Minecraft",NA,17,416133
"2A1","Boosfer",5,00:07:04.599,"Ice Bucket Challenge",NA,19,424599
"2A1","waluyoshi",3,00:07:04.654,"Who is Cutting Onions?",NA,21,424654
"2A1","frankey32_",2,00:07:06.151,"Getting an Upgrade",NA,17,426151
"2A1","waluyoshi",3,00:07:08.937,"Local Brewery",NA,22,428937
"2A1","Boosfer",5,00:07:11.089,"Fishy Business",NA,20,431089
"2A1","joshteautwins",1,00:07:14.447,"Who is Cutting Onions?",NA,21,434447
"2A1","Boosfer",5,00:07:23.338,"War Pigs",NA,21,443338
"2A1","draconix6",6,00:07:24.482,NA,"death",20,444482
"2A1","joshteautwins",1,00:07:24.947,"Fishy Business",NA,22,444947
"2A1","joshteautwins",1,00:07:36.141,"Oh Shiny",NA,23,456141
"2A1","frankey32_",2,00:07:43.251,"Adventure",NA,17,463251
"2A1","joshteautwins",1,00:07:47.103,"Ol' Betsy",NA,24,467103
"2A1","joshteautwins",1,00:07:50.346,"Not Today, Thank You",NA,25,470346
"2A1","joshteautwins",1,00:07:50.361,"Take Aim",NA,26,470361
"2A1","frankey32_",2,00:07:51.384,"What a Deal!",NA,17,471384
"2A1","waluyoshi",3,00:07:56.049,"Cover Me With Diamonds",NA,23,476049
"2A1","frankey32_",2,00:08:10.702,"Isn't It Iron Pick",NA,17,490702
"2A1","Boosfer",5,00:08:14.591,"Cover Me With Diamonds",NA,22,494591
"2A1","maskers_",4,00:08:16.905,"Who is Cutting Onions?",NA,22,496905
"2A1","frankey32_",2,00:08:18.250,"Tactical Fishing",NA,17,498250
"2A1","frankey32_",2,00:08:25.450,"Husbandry",NA,17,505450
"2A1","frankey32_",2,00:08:36.902,"Hot Stuff",NA,17,516902
"2A1","waluyoshi",3,00:08:40.252,"A Terrible Fortress",NA,24,520251
"2A1","maskers_",4,00:08:46.170,"Fishy Business",NA,23,526170
"2A1","frankey32_",2,00:08:47.170,"We Need to Go Deeper",NA,17,527170
"2A1","frankey32_",2,00:08:47.213,"Nether",NA,17,527213
"2A1","maskers_",4,00:08:57.621,"Ol' Betsy",NA,24,537621
"2A1","Boosfer",5,00:08:57.846,"Not Today, Thank You",NA,23,537846
"2A1","Boosfer",5,00:08:57.880,"Take Aim",NA,24,537880
"2A1","maskers_",4,00:08:58.897,"Take Aim",NA,25,538897
"2A1","Boosfer",5,00:09:00.996,"Ol' Betsy",NA,25,540996
"2A1","maskers_",4,00:09:03.196,"Not Today, Thank You",NA,26,543196
"2A1","waluyoshi",3,00:09:06.558,"Ol' Betsy",NA,25,546558
"2A1","waluyoshi",3,00:09:06.768,"Monster Hunter",NA,26,546768
"2A1","waluyoshi",3,00:09:06.769,"Take Aim",NA,27,546769
"2A1","Boosfer",5,00:09:09.496,"Who is Cutting Onions?",NA,26,549496
"2A1","waluyoshi",3,00:09:09.709,"Into Fire",NA,28,549709
"2A1","frankey32_",2,00:09:23.553,"Those Were the Days",NA,17,563553
"2A1","joshteautwins",1,00:09:35.794,"Not Quite ""Nine"" Lives",NA,27,575794
"2A1","frankey32_",2,00:09:39.650,"Oh Shiny",NA,17,579650
"2A1","draconix6",6,00:09:58.576,"Who is Cutting Onions?",NA,21,598576
"2A1","Boosfer",5,00:10:01.295,"Suit Up",NA,27,601295
"2A1","waluyoshi",3,00:10:01.505,NA,"blind_travel",28,601505
"2A1","joshteautwins",1,00:10:04.647,"A Terrible Fortress",NA,28,604647
"2A1","maskers_",4,00:10:21.646,"Bullseye",NA,27,621646
"2A1","joshteautwins",1,00:10:23.944,"Into Fire",NA,29,623944
"2A1","frankey32_",2,00:10:30.307,"Who is Cutting Onions?",NA,18,630307
"2A1","frankey32_",2,00:10:30.360,"Ice Bucket Challenge",NA,19,630360
"2A1","frankey32_",2,00:10:30.361,"Suit Up",NA,20,630361
"2A1","frankey32_",2,00:10:33.751,"War Pigs",NA,21,633751
"2A1","Boosfer",5,00:10:34.795,NA,"death",27,634795
"2A1","Boosfer",5,00:10:35.394,"A Terrible Fortress",NA,28,635394
"2A1","frankey32_",2,00:10:39.944,"Ol' Betsy",NA,22,639944
"2A1","waluyoshi",3,00:10:41.384,"Sweet Dreams",NA,29,641384
"2A1","maskers_",4,00:10:41.651,"A Terrible Fortress",NA,28,641651
"2A1","frankey32_",2,00:11:01.584,"Local Brewery",NA,23,661584
"2A1","Boosfer",5,00:11:13.108,"Sweet Dreams",NA,29,673108
"2A1","joshteautwins",1,00:11:13.555,"Local Brewery",NA,30,673555
"2A1","frankey32_",2,00:11:15.392,"Fishy Business",NA,24,675392
"2A1","maskers_",4,00:11:23.946,"Into Fire",NA,29,683946
"2A1","frankey32_",2,00:11:24.581,"Not Today, Thank You",NA,25,684581
"2A1","frankey32_",2,00:11:24.582,"Take Aim",NA,26,684582
"2A1","draconix6",6,00:11:29.870,"Suit Up",NA,22,689870
"2A1","joshteautwins",1,00:11:32.641,NA,"blind_travel",30,692641
"2A1","joshteautwins",1,00:11:34.905,"Sweet Dreams",NA,31,694905
"2A1","waluyoshi",3,00:11:37.038,"Not Quite ""Nine"" Lives",NA,30,697038
"2A1","maskers_",4,00:11:37.500,NA,"blind_travel",29,697500
"2A1","maskers_",4,00:11:38.725,"Sweet Dreams",NA,30,698725
"2A1","maskers_",4,00:11:57.046,"Getting an Upgrade",NA,31,717046
"2A1","draconix6",6,00:12:00.001,NA,"eliminate",22,720001
"2A1","frankey32_",2,00:12:51.551,"A Terrible Fortress",NA,27,771551
"2A1","frankey32_",2,00:12:53.400,"Diamonds!",NA,28,773400
"2A1","frankey32_",2,00:13:12.944,"Monster Hunter",NA,29,792944
"2A1","waluyoshi",3,00:13:15.703,"Return to Sender",NA,31,795703
"2A1","waluyoshi",3,00:13:24.470,"Eye Spy",NA,32,804470
"2A1","frankey32_",2,00:13:45.452,"Into Fire",NA,30,825452
"2A1","joshteautwins",1,00:14:04.897,"Eye Spy",NA,32,844897
"2A1","waluyoshi",3,00:14:41.503,NA,"death_spawnpoint",32,881503
"2A1","waluyoshi",3,00:15:07.638,"The End",NA,33,907638
"2A1","waluyoshi",3,00:15:07.639,"The End?",NA,34,907639
"2A1","frankey32_",2,00:15:20.493,"Not Quite ""Nine"" Lives",NA,31,920493
"2A1","Boosfer",5,00:15:34.444,"Into Fire",NA,30,934444
"2A1","waluyoshi",3,00:15:37.650,"You Need a Mint",NA,35,937650
"2A1","joshteautwins",1,00:15:58.300,"The End?",NA,33,958300
"2A1","joshteautwins",1,00:15:58.314,"The End",NA,34,958314
"2A1","joshteautwins",1,00:16:32.171,"Free the End",NA,35,992171
"2A1","joshteautwins",1,00:16:41.842,NA,"dragon_death",35,1001842
"2A1","waluyoshi",3,00:16:58.396,"Free the End",NA,36,1018396
"2A1","waluyoshi",3,00:16:58.480,NA,"dragon_death",36,1018480
"2A1","frankey32_",2,00:17:06.182,NA,"blind_travel",31,1026182
"2A1","joshteautwins",1,00:17:09.071,"Remote Getaway",NA,36,1029070
"2A1","waluyoshi",3,00:17:13.402,"Bullseye",NA,37,1033402
"2A1","joshteautwins",1,00:17:21.944,"The City at the End of the Game",NA,37,1041944
"2A1","frankey32_",2,00:17:23.099,"Sweet Dreams",NA,32,1043098
"2A1","waluyoshi",3,00:17:28.403,"The Next Generation",NA,38,1048403
"2A1","maskers_",4,00:17:42.958,"Eye Spy",NA,32,1062958
"2A1","joshteautwins",1,00:17:49.346,"Suit Up",NA,38,1069346
"2A1","joshteautwins",1,00:17:49.363,"Diamonds!",NA,39,1069363
"2A1","joshteautwins",1,00:17:54.647,"Sky's the Limit",NA,40,1074647
"2A1","waluyoshi",3,00:18:14.078,"Remote Getaway",NA,39,1094078
"2A1","joshteautwins",1,00:18:16.351,"Great View From Up Here",NA,41,1096351
"2A1","frankey32_",2,00:18:31.712,"Eye Spy",NA,33,1111712
"2A1","maskers_",4,00:18:55.906,NA,"death_spawnpoint",32,1135906
"2A1","waluyoshi",3,00:18:59.603,"The City at the End of the Game",NA,40,1139603
"2A1","Boosfer",5,00:19:03.059,NA,"blind_travel",30,1143059
"2A1","maskers_",4,00:19:15.735,"The End?",NA,33,1155735
"2A1","maskers_",4,00:19:15.804,"The End",NA,34,1155804
"2A1","waluyoshi",3,00:19:18.353,"Sky's the Limit",NA,41,1158353
"2A1","waluyoshi",3,00:19:18.440,"Diamonds!",NA,42,1158440
"2A1","waluyoshi",3,00:19:44.454,"Not Today, Thank You",NA,43,1184454
"2A1","maskers_",4,00:19:52.503,"You Need a Mint",NA,35,1192503
"2A1","frankey32_",2,00:20:02.548,NA,"death",33,1202548
"2A1","joshteautwins",1,00:20:39.652,"The Next Generation",NA,42,1239652
"2A1","maskers_",4,00:21:47.059,"Free the End",NA,36,1307059
"2A1","maskers_",4,00:21:47.128,NA,"dragon_death",36,1307128
"2A1","maskers_",4,00:22:05.457,"The Next Generation",NA,37,1325457
"2A1","joshteautwins",1,00:22:13.202,"Bullseye",NA,43,1333202
"2A1","maskers_",4,00:22:41.962,"Remote Getaway",NA,38,1361962
"2A1","joshteautwins",1,00:22:42.304,"Voluntary Exile",NA,44,1362304
"2A1","joshteautwins",1,00:22:42.318,"Who's the Pillager Now?",NA,45,1362318
"2A1","maskers_",4,00:23:17.908,"The City at the End of the Game",NA,39,1397908
"2A1","Boosfer",5,00:24:00.003,NA,"eliminate",30,1440003
"2A1","maskers_",4,00:24:05.206,"Diamonds!",NA,40,1445206
"2A1","frankey32_",2,00:24:14.578,"The End?",NA,34,1454578
"2A1","frankey32_",2,00:24:14.578,"The End",NA,35,1454578
"2A1","joshteautwins",1,00:24:16.727,"Enchanter",NA,46,1456727
"2A1","waluyoshi",3,00:24:17.910,"Sniper Duel",NA,44,1457910
"2A1","frankey32_",2,00:24:43.740,"Free the End",NA,36,1483740
"2A1","frankey32_",2,00:24:53.946,NA,"dragon_death",36,1493946
"2A1","frankey32_",2,00:25:25.690,"Remote Getaway",NA,37,1525690
"2A1","frankey32_",2,00:25:35.351,"The City at the End of the Game",NA,38,1535351
"2A1","maskers_",4,00:25:50.764,"Sky's the Limit",NA,41,1550764
"2A1","waluyoshi",3,00:25:53.614,"Fishy Business",NA,45,1553614
"2A1","maskers_",4,00:26:03.524,"Local Brewery",NA,42,1563524
"2A1","frankey32_",2,00:26:40.047,"Sky's the Limit",NA,39,1600047
"2A1","waluyoshi",3,00:27:25.345,"Enchanter",NA,46,1645345
"2A1","frankey32_",2,00:27:42.946,"Cover Me With Diamonds",NA,40,1662946
"2A1","joshteautwins",1,00:28:35.944,"Hero of the Village",NA,47,1715944
"2A1","frankey32_",2,00:28:38.625,"Great View From Up Here",NA,41,1718625
"2A1","maskers_",4,00:29:04.973,"Sniper Duel",NA,43,1744973
"2A1","waluyoshi",3,00:29:29.814,"Voluntary Exile",NA,47,1769814
"2A1","waluyoshi",3,00:29:29.899,"Who's the Pillager Now?",NA,48,1769899
"2A1","frankey32_",2,00:29:32.798,"The Next Generation",NA,42,1772798
"2A1","maskers_",4,00:29:35.728,"Voluntary Exile",NA,44,1775728
"2A1","maskers_",4,00:29:35.800,"Who's the Pillager Now?",NA,45,1775800
"2A1","waluyoshi",3,00:29:39.515,"Hired Help",NA,49,1779515
"2A1","frankey32_",2,00:30:53.153,"Voluntary Exile",NA,43,1853153
"2A1","frankey32_",2,00:30:53.193,"Who's the Pillager Now?",NA,44,1853193
"2A1","joshteautwins",1,00:31:10.102,"Return to Sender",NA,48,1870102
"2A1","waluyoshi",3,00:31:13.855,NA,"death",49,1873855
"2A1","joshteautwins",1,00:31:45.804,"Sniper Duel",NA,49,1905804
"2A1","frankey32_",2,00:32:00.116,"Hired Help",NA,45,1920116
"2A1","maskers_",4,00:32:19.965,"Hero of the Village",NA,46,1939965
"2A1","joshteautwins",1,00:32:55.397,"Spooky Scary Skeleton",NA,50,1975397
"2A1","maskers_",4,00:32:59.986,"Hired Help",NA,47,1979986
"2A1","frankey32_",2,00:33:12.934,"This Boat Has Legs",NA,46,1992934
"2A1","frankey32_",2,00:33:41.996,"Hot Tourist Destinations",NA,47,2021996
"2A1","joshteautwins",1,00:34:03.469,"Postmortal",NA,51,2043469
"2A1","frankey32_",2,00:34:08.596,"Return to Sender",NA,48,2048596
"2A1","maskers_",4,00:34:09.010,"Not Quite ""Nine"" Lives",NA,48,2049010
"2A1","maskers_",4,00:34:26.424,"This Boat Has Legs",NA,49,2066424
"2A1","frankey32_",2,00:34:54.036,"Subspace Bubble",NA,49,2094036
"2A1","frankey32_",2,00:35:09.300,"Uneasy Alliance",NA,50,2109300
"2A1","joshteautwins",1,00:35:21.376,"Subspace Bubble",NA,52,2121376
"2A1","waluyoshi",3,00:35:28.710,"Postmortal",NA,50,2128710
"2A1","joshteautwins",1,00:35:35.299,"Uneasy Alliance",NA,53,2135299
"2A1","waluyoshi",3,00:35:52.654,"Hero of the Village",NA,51,2152654
"2A1","maskers_",4,00:36:00.004,NA,"eliminate",49,2160004
"2A1","joshteautwins",1,00:36:23.758,"A Throwaway Joke",NA,54,2183758
"2A1","waluyoshi",3,00:36:54.085,"This Boat Has Legs",NA,52,2214085
"2A1","joshteautwins",1,00:38:22.371,"Hired Help",NA,55,2302371
"2A1","joshteautwins",1,00:41:11.405,"Hot Tourist Destinations",NA,56,2471405
"2A1","joshteautwins",1,00:41:21.166,"This Boat Has Legs",NA,57,2481166
"2A1","joshteautwins",1,00:41:30.352,"Hidden in the Depths",NA,58,2490352
"2A1","joshteautwins",1,00:43:31.069,NA,"death",58,2611069
"2A1","waluyoshi",3,00:43:45.967,NA,"death",52,2625967
"2A1","frankey32_",2,00:44:22.191,"Hero of the Village",NA,51,2662191
"2A1","frankey32_",2,00:44:36.459,"Postmortal",NA,52,2676459
"2A1","joshteautwins",1,00:46:18.894,"Withering Heights",NA,59,2778894
"2A1","joshteautwins",1,00:47:15.242,"Country Lode, Take Me Home",NA,60,2835242
"2A1","joshteautwins",1,00:48:32.556,"Bring Home the Beacon",NA,61,2912556
"2A1","waluyoshi",3,00:48:36.545,NA,"eliminate",52,2916545
"2A1","frankey32_",2,00:48:36.545,"Sniper Duel",NA,53,2916545
"2A1","joshteautwins",1,00:48:58.691,"Total Beelocation",NA,62,2938691
"2A1","joshteautwins",1,00:51:18.762,"Arbalistic",NA,63,3078762
"2A1","frankey32_",2,00:53:02.532,"Enchanter",NA,54,3182532
"2A1","joshteautwins",1,00:53:28.004,"The End... Again...",NA,64,3208004
"2A1","joshteautwins",1,00:53:37.804,"You Need a Mint",NA,65,3217804
"2A1","joshteautwins",1,00:53:41.905,NA,"death",65,3221905
"2A1","frankey32_",2,00:56:47.719,"Bee Our Guest",NA,55,3407719
"2A1","frankey32_",2,00:56:49.978,"Total Beelocation",NA,56,3409978
"2A1","joshteautwins",1,00:57:29.199,"Bee Our Guest",NA,66,3449199
"2A1","joshteautwins",1,00:58:08.760,"Serious Dedication",NA,67,3488760
"2A1","joshteautwins",1,00:59:34.748,NA,"death",67,3574748
"2A1","frankey32_",2,00:59:37.791,"Bullseye",NA,57,3577791
